2021.10.25 17:41:16 INFO  web[][DbMigrations] #6006 'Drop 'user_managed' column from 'metrics' table'...
2021.10.25 17:41:16 INFO  web[][DbMigrations] #6006 'Drop 'user_managed' column from 'metrics' table': success | time=58ms
2021.10.25 17:41:16 INFO  web[][DbMigrations] #6007 'Create Audit table'...
2021.10.25 17:41:16 INFO  web[][DbMigrations] #6007 'Create Audit table': success | time=17ms
2021.10.25 17:41:16 INFO  web[][DbMigrations] #6008 'Add column 'removed' to 'plugins' table'...
2021.10.25 17:41:16 INFO  web[][DbMigrations] #6008 'Add column 'removed' to 'plugins' table': success | time=64ms
2021.10.25 17:41:16 INFO  web[][DbMigrations] #6009 'Alter column 'client_secret' of 'alm_settings' table to length 160'...
2021.10.25 17:41:16 INFO  web[][DbMigrations] #6009 'Alter column 'client_secret' of 'alm_settings' table to length 160': success | time=10ms
2021.10.25 17:41:16 INFO  web[][DbMigrations] #6010 'Alter column 'private_key' of 'alm_settings' table to length 2500'...
2021.10.25 17:41:16 INFO  web[][DbMigrations] #6010 'Alter column 'private_key' of 'alm_settings' table to length 2500': success | time=8ms
2021.10.25 17:41:16 INFO  web[][DbMigrations] #6011 'Create 'portfolios' table'...
2021.10.25 17:41:16 INFO  web[][DbMigrations] #6011 'Create 'portfolios' table': success | time=10ms
2021.10.25 17:41:16 INFO  web[][DbMigrations] #6012 'Create unique index for 'kee' in 'portfolios''...
2021.10.25 17:41:16 INFO  web[][DbMigrations] #6012 'Create unique index for 'kee' in 'portfolios'': success | time=8ms
2021.10.25 17:41:16 INFO  web[][DbMigrations] #6013 'Create 'portfolio_references' table'...
2021.10.25 17:41:16 INFO  web[][DbMigrations] #6013 'Create 'portfolio_references' table': success | time=9ms
2021.10.25 17:41:16 INFO  web[][DbMigrations] #6014 'Create unique index for 'portfolio_references''...
2021.10.25 17:41:16 INFO  web[][DbMigrations] #6014 'Create unique index for 'portfolio_references'': success | time=9ms
2021.10.25 17:41:16 INFO  web[][DbMigrations] #6015 'Create 'portfolio_projects' table'...
2021.10.25 17:41:16 INFO  web[][DbMigrations] #6015 'Create 'portfolio_projects' table': success | time=10ms
2021.10.25 17:41:16 INFO  web[][DbMigrations] #6016 'Create unique index for 'portfolio_projects''...
2021.10.25 17:41:16 INFO  web[][DbMigrations] #6016 'Create unique index for 'portfolio_projects'': success | time=8ms
2021.10.25 17:41:16 INFO  web[][DbMigrations] #6017 'Migrate portfolios to new tables'...
2021.10.25 17:41:16 INFO  web[][DbMigrations] #6017 'Migrate portfolios to new tables': success | time=8ms
2021.10.25 17:41:16 INFO  web[][DbMigrations] #6018 'Create index for 'issue_changes' on 'issue_key' and 'change_type''...
2021.10.25 17:41:16 INFO  web[][DbMigrations] #6018 'Create index for 'issue_changes' on 'issue_key' and 'change_type'': success | time=7ms
2021.10.25 17:41:16 INFO  web[][DbMigrations] #6019 'Remove SVN related properties'...
2021.10.25 17:41:16 INFO  web[][DbMigrations] #6019 'Remove SVN related properties': success | time=8ms
2021.10.25 17:41:16 INFO  web[][DbMigrations] Executed DB migrations: success | time=1406ms
2021.10.25 17:41:16 INFO  web[][o.s.s.p.Platform] Database has been automatically updated
2021.10.25 17:41:16 INFO  web[][o.s.s.p.DetectPluginChange] Detect plugin changes
2021.10.25 17:41:16 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.platform.web.WebServiceFilter@44924a33 [pattern=UrlPattern{inclusions=[/api/system/migrate_db.*, ...], exclusions=[/api/components/update_key, ...]}]
2021.10.25 17:41:17 INFO  web[][o.s.s.a.EmbeddedTomcat] HTTP connector enabled on port 9000
2021.10.25 17:41:18 INFO  web[][o.s.s.p.UpdateCenterClient] Update center: https://update.sonarsource.org/update-center.properties (no proxy)
2021.10.25 17:41:20 INFO  web[][o.s.s.e.IndexCreator] Create index [metadatas]
2021.10.25 17:41:21 INFO  web[][o.s.s.e.IndexCreator] Create type metadatas/metadata
2021.10.25 17:41:23 INFO  web[][o.s.s.e.IndexCreator] Create index [components]
2021.10.25 17:41:24 INFO  web[][o.s.s.e.IndexCreator] Create type components/auth
2021.10.25 17:41:24 INFO  web[][o.s.s.e.IndexCreator] Create index [projectmeasures]
2021.10.25 17:41:26 INFO  web[][o.s.s.e.IndexCreator] Create type projectmeasures/auth
2021.10.25 17:41:26 INFO  web[][o.s.s.e.IndexCreator] Create index [rules]
2021.10.25 17:41:27 INFO  web[][o.s.s.e.IndexCreator] Create type rules/rule
2021.10.25 17:41:27 INFO  web[][o.s.s.e.IndexCreator] Create index [issues]
2021.10.25 17:41:28 INFO  web[][o.s.s.e.IndexCreator] Create type issues/auth
2021.10.25 17:41:28 INFO  web[][o.s.s.e.IndexCreator] Create index [users]
2021.10.25 17:41:29 INFO  web[][o.s.s.e.IndexCreator] Create type users/user
2021.10.25 17:41:29 INFO  web[][o.s.s.e.IndexCreator] Create index [views]
2021.10.25 17:41:30 INFO  web[][o.s.s.e.IndexCreator] Create type views/view
2021.10.25 17:41:30 INFO  web[][o.s.s.s.LogServerId] Server ID: BF41A1F2-AXy3XK5AZLAMp0u8C1pG
2021.10.25 17:41:30 WARN  web[][o.s.s.a.LogOAuthWarning] For security reasons, OAuth authentication should use HTTPS. You should set the property 'Administration > Configuration > Server base URL' to a HTTPS URL.
2021.10.25 17:41:31 WARN  web[][o.s.a.s.w.WebService$Action] The response example is not set on action api/plugins/download
2021.10.25 17:41:31 WARN  web[][o.s.a.s.w.WebService$Action] The response example is not set on action api/system/liveness
2021.10.25 17:41:31 WARN  web[][o.s.a.s.w.WebService$Action] The response example is not set on action api/alm_integrations/list_bitbucketserver_projects
2021.10.25 17:41:31 WARN  web[][o.s.a.s.w.WebService$Action] The response example is not set on action api/alm_integrations/search_bitbucketcloud_repos
2021.10.25 17:41:31 WARN  web[][o.s.a.s.w.WebService$Action] The response example is not set on action api/alm_integrations/check_pat
2021.10.25 17:41:31 WARN  web[][o.s.a.s.w.WebService$Action] The response example is not set on action api/alm_integrations/list_azure_projects
2021.10.25 17:41:31 WARN  web[][o.s.a.s.w.WebService$Action] The response example is not set on action api/alm_integrations/search_bitbucketserver_repos
2021.10.25 17:41:31 WARN  web[][o.s.a.s.w.WebService$Action] The response example is not set on action api/alm_integrations/search_azure_repos
2021.10.25 17:41:31 INFO  web[][o.s.s.t.TelemetryDaemon] Sharing of SonarQube statistics is enabled.
2021.10.25 17:41:31 INFO  web[][o.s.s.n.NotificationDaemon] Notification service started (delay 60 sec.)
2021.10.25 17:41:31 INFO  web[][o.s.s.a.p.ExpiredSessionsCleaner] Purge of expired session tokens has removed 0 elements
2021.10.25 17:41:31 INFO  web[][o.s.s.a.p.ExpiredSessionsCleaner] Purge of expired SAML message ids has removed 0 elements
2021.10.25 17:41:31 INFO  web[][o.s.s.s.GeneratePluginIndex] Generate scanner plugin index
2021.10.25 17:41:31 INFO  web[][o.s.s.s.RegisterMetrics] Register metrics
2021.10.25 17:41:31 INFO  web[][o.s.s.q.RegisterQualityGates] Built-in quality gate's conditions of [Sonar way] has been updated
2021.10.25 17:41:31 INFO  web[][o.s.s.r.RegisterRules] Register rules
2021.10.25 17:42:03 INFO  web[][o.s.s.q.BuiltInQProfileRepositoryImpl] Load quality profiles
2021.10.25 17:42:04 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register quality profiles
2021.10.25 17:42:04 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile css/Sonar way
2021.10.25 17:42:04 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile scala/Sonar way
2021.10.25 17:42:04 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile jsp/Sonar way
2021.10.25 17:42:04 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile kotlin/Sonar way
2021.10.25 17:42:04 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile go/Sonar way
2021.10.25 17:42:04 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile js/Sonar way
2021.10.25 17:42:05 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile py/Sonar way
2021.10.25 17:42:05 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile ruby/Sonar way
2021.10.25 17:42:05 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile cs/Sonar way
2021.10.25 17:42:06 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile java/Sonar way
2021.10.25 17:42:06 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile web/Sonar way
2021.10.25 17:42:07 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile xml/Sonar way
2021.10.25 17:42:07 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile flex/Sonar way
2021.10.25 17:42:08 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile php/Sonar way
2021.10.25 17:42:08 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile php/PSR-2
2021.10.25 17:42:08 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile php/Drupal
2021.10.25 17:42:08 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile vbnet/Sonar way
2021.10.25 17:42:09 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile ts/Sonar way
2021.10.25 17:42:09 INFO  web[][o.s.s.s.RegisterPermissionTemplates] Register permission templates
2021.10.25 17:42:09 INFO  web[][o.s.s.s.RenameDeprecatedPropertyKeys] Rename deprecated property keys
2021.10.25 17:42:09 INFO  web[][o.s.s.s.RegisterPlugins] Register plugins
2021.10.25 17:42:09 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.platform.web.SonarLintConnectionFilter@1449a3f9 [pattern=UrlPattern{inclusions=[/api/*], exclusions=[]}]
2021.10.25 17:42:09 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.platform.web.WebServiceFilter@58c458e5 [pattern=UrlPattern{inclusions=[/api/issues/delete_comment.*, ...], exclusions=[/api/authentication/login.*, ...]}]
2021.10.25 17:42:09 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.platform.web.WebServiceReroutingFilter@4b3d89c8 [pattern=UrlPattern{inclusions=[/api/components/bulk_update_key, ...], exclusions=[]}]
2021.10.25 17:42:09 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.plugins.PluginsRiskConsentFilter@576ab9e9 [pattern=UrlPattern{inclusions=[/*], exclusions=[*.css, ...]}]
2021.10.25 17:42:09 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.DefaultAdminCredentialsVerifierFilter@21ded45e [pattern=UrlPattern{inclusions=[/*], exclusions=[*.css, ...]}]
2021.10.25 17:42:09 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.InitFilter@32e1f385 [pattern=UrlPattern{inclusions=[/sessions/init/*], exclusions=[]}]
2021.10.25 17:42:09 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.OAuth2CallbackFilter@61bcf11e [pattern=UrlPattern{inclusions=[/oauth2/callback/*], exclusions=[]}]
2021.10.25 17:42:09 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.ResetPasswordFilter@66a1c79a [pattern=UrlPattern{inclusions=[/*], exclusions=[*.css, ...]}]
2021.10.25 17:42:09 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.ws.LoginAction@6ee9a2e2 [pattern=UrlPattern{inclusions=[/api/authentication/login], exclusions=[]}]
2021.10.25 17:42:09 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.ws.LogoutAction@65917b8d [pattern=UrlPattern{inclusions=[/api/authentication/logout], exclusions=[]}]
2021.10.25 17:42:09 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.ws.ValidateAction@2473772b [pattern=UrlPattern{inclusions=[/api/authentication/validate], exclusions=[]}]
2021.10.25 17:42:09 INFO  web[][o.s.s.e.IndexerStartupTask] Indexing of type [users/user]...
2021.10.25 17:42:10 INFO  web[][o.s.s.e.IndexerStartupTask] Indexing of type [users/user] done | time=938ms
2021.10.25 17:42:10 INFO  web[][o.s.s.e.IndexerStartupTask] Indexing of type [components/auth/component]...
2021.10.25 17:42:10 INFO  web[][o.s.s.e.IndexerStartupTask] Indexing of type [components/auth/component] done | time=246ms
2021.10.25 17:42:10 INFO  web[][o.s.s.e.IndexerStartupTask] Indexing of type [views/view]...
2021.10.25 17:42:11 INFO  web[][o.s.s.e.IndexerStartupTask] Indexing of type [views/view] done | time=287ms
2021.10.25 17:42:11 INFO  web[][o.s.s.e.IndexerStartupTask] Trigger asynchronous indexing of type [issues/auth/issue]...
2021.10.25 17:42:11 INFO  web[][o.s.s.i.i.AsyncIssueIndexingImpl] 0 pending indexation task found to be deleted...
2021.10.25 17:42:11 INFO  web[][o.s.s.i.i.AsyncIssueIndexingImpl] 0 completed indexation task found to be deleted...
2021.10.25 17:42:11 INFO  web[][o.s.s.i.i.AsyncIssueIndexingImpl] Indexation task deletion complete.
2021.10.25 17:42:11 INFO  web[][o.s.s.i.i.AsyncIssueIndexingImpl] Deleting tasks characteristics...
2021.10.25 17:42:11 INFO  web[][o.s.s.i.i.AsyncIssueIndexingImpl] Tasks characteristics deletion complete.
2021.10.25 17:42:11 INFO  web[][o.s.s.i.i.AsyncIssueIndexingImpl] 0 branch found in need of issue sync.
2021.10.25 17:42:11 INFO  web[][o.s.s.e.IndexerStartupTask] Trigger asynchronous indexing of type [issues/auth/issue] done | time=95ms
2021.10.25 17:42:11 INFO  web[][o.s.s.e.IndexerStartupTask] Indexing of types [components/auth],[projectmeasures/auth],[issues/auth]...
2021.10.25 17:42:11 INFO  web[][o.s.s.e.IndexerStartupTask] Indexing of types [components/auth],[projectmeasures/auth],[issues/auth] done | time=226ms
2021.10.25 17:42:11 INFO  web[][o.s.s.e.IndexerStartupTask] Indexing of type [projectmeasures/auth/projectmeasure]...
2021.10.25 17:42:11 INFO  web[][o.s.s.e.IndexerStartupTask] Indexing of type [projectmeasures/auth/projectmeasure] done | time=113ms
2021.10.25 17:42:11 INFO  web[][o.s.s.q.ProjectsInWarningDaemon] Counting number of projects in warning is enabled.
2021.10.25 17:42:11 INFO  web[][o.s.s.p.p.PlatformLevelStartup] Running Community Edition
2021.10.25 17:42:11 INFO  web[][o.s.s.q.ProjectsInWarningDaemon] Counting number of projects in warning will be disabled as there are no more projects in warning.
2021.10.25 17:42:12 INFO  web[][o.s.s.p.Platform] WebServer is operational
2021.10.25 18:09:40 INFO  web[][o.s.p.ProcessEntryPoint] Gracefully stopping process
2021.10.25 18:09:40 INFO  web[][o.s.s.n.NotificationDaemon] Notification service stopped
2021.10.25 18:09:41 INFO  web[][o.s.s.p.d.EmbeddedDatabase] Embedded database stopped
2021.10.25 18:09:41 INFO  web[][o.s.s.app.WebServer] WebServer stopped
